Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Mice Protein Expression,8/3/2015,N/A,Multivariate,Biology,"Classification, Clustering",Real,1080,80
Smartphone Dataset for Anomaly Detection in Crowds,7/4/2021,N/A,Time-Series,Computer Science,Classification,-,14221,-
News Popularity in Multiple Social Media Platforms,2/19/2018,N/A,"Multivariate, Time-Series, Text",Computer Science,Regression,"Integer, Real",93239,-
Bone marrow transplant: children,4/20/2020,N/A,Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",187,36
Recipe Reviews and User Feedback,10/23/2023,N/A,"Tabular, Other",Computer Science,"Classification, Other","Real, Categorical, Integer",18182,15
HTRU2,2/13/2017,N/A,Multivariate,Physics and Chemistry,"Classification, Clustering",Real,17898,8
Statlog (Vehicle Silhouettes),N/A,N/A,Multivariate,Other,Classification,Integer,946,18
Jute Pest,11/17/2023,N/A,Image,Biology,"Classification, Other",Categorical,7235,17
Bag of Words,3/11/2008,N/A,Text,Other,Clustering,Integer,8000000,100000
YouTube Spam Collection,3/25/2017,N/A,Text,Computer Science,Classification,-,1956,3
Student Performance on an Entrance Examination,12/9/2018,N/A,Multivariate,Computer Science,Classification,-,666,11
PPG-DaLiA,7/29/2019,N/A,"Multivariate, Time-Series",Computer Science,Regression,Real,8300000,-
Diabetic Retinopathy Debrecen,11/2/2014,N/A,Multivariate,Health and Medicine,Classification,"Integer, Real",1151,19
FMA: A Dataset For Music Analysis,5/23/2017,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Clustering",Real,106574,-
RealWaste,10/17/2023,N/A,Image,Computer Science,Classification,-,4752,-
US Census Data (1990),N/A,N/A,Multivariate,Social Science,Clustering,Categorical,2458285,68
Incident management process enriched event log,7/13/2019,N/A,"Multivariate, Sequential",Business,"Regression, Clustering",Integer,141712,36
Cuff-Less Blood Pressure Estimation,7/26/2015,N/A,Multivariate,Health and Medicine,"Classification, Regression",Real,12000,-
Reuters-21578 Text Categorization Collection,9/25/1997,N/A,Text,Business,Classification,Categorical,21578,5
ImageNet,Linked on 11/26/2021,N/A,Image,Computer Science,Classification,-,14000000,-
Parkinson's Speech with Multiple Types of Sound Recordings,6/11/2014,N/A,Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",1040,-
Micro Gas Turbine Electrical Energy Prediction,4/23/2024,N/A,"Sequential, Multivariate, Time-Series",Engineering,Regression,Real,71225,1
Gas Sensor Array Drift at Different Concentrations,10/22/2013,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Regression, Clustering, Causa",Real,13910,128
User Knowledge Modeling,6/25/2013,N/A,Multivariate,Computer Science,"Classification, Clustering",Integer,403,5
Skin Segmentation,7/16/2012,N/A,Univariate,Computer Science,Classification,Real,245057,3
Tennis Major Tournament Match Statistics,5/31/2014,N/A,Multivariate,Other,"Classification, Regression, Clustering","Integer, Real",127,42
Residential Building,2/18/2018,N/A,Multivariate,Computer Science,Regression,Real,372,-
Physical Therapy Exercises,5/7/2022,N/A,Time-Series,Engineering,"Classification, Clustering, Other",-,268881,-
Alcohol QCM Sensor,7/21/2019,N/A,Multivariate,Computer Science,"Classification, Regression, Clustering",Real,125,8
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,10/5/2019,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,15630426,6
Palmer Penguins,Linked on 11/14/2021,N/A,Tabular,Biology,Classification,-,344,-
Twenty Newsgroups,9/8/1999,N/A,Text,Other,-,-,20000,-
Thoracic Surgery Data,11/12/2013,N/A,Multivariate,Health and Medicine,Classification,"Integer, Real",470,16
Audit Data,7/13/2018,N/A,Multivariate,Business,Classification,Real,777,-
Concrete Slump Test,4/29/2009,N/A,Multivariate,Computer Science,Regression,Real,103,-
Forty Soybean Cultivars from Subsequent Harvests,10/28/2023,N/A,Tabular,Other,"Classification, Regression, Clustering, Other","Real, Categorical, Integer",320,11
Multiple Features,N/A,N/A,Multivariate,Computer Science,Classification,"Integer, Real",2000,-
ISOLET,9/11/1994,N/A,Multivariate,Computer Science,Classification,Real,7797,617
Japanese Credit Screening,3/18/1992,N/A,"Multivariate, Domain-Theory",Business,Classification,"Categorical, Real, Integer",125,15
UJIIndoorLoc,9/17/2014,N/A,Multivariate,Computer Science,"Classification, Regression","Integer, Real",21048,-
Primary Tumor,10/31/1988,N/A,Multivariate,Health and Medicine,Classification,Categorical,339,17
NATICUSdroid (Android Permissions),4/24/2022,N/A,Tabular,Computer Science,Classification,-,29333,86
CIFAR-10,Linked on 11/24/2021,N/A,Image,Computer Science,Classification,-,60000,-
Dota2 Games Results,8/13/2016,N/A,Multivariate,Games,Classification,-,102944,115
COVID-19 Surveillance,4/23/2020,N/A,Multivariate,Computer Science,Classification,-,14,7
Auction Verification,2/28/2022,N/A,Tabular,Computer Science,"Classification, Regression",-,2043,7
Condition Based Maintenance of Naval Propulsion Plants,9/10/2014,N/A,Multivariate,Computer Science,Regression,Real,11934,-
Toxicity,5/4/2022,N/A,Tabular,Biology,Classification,-,171,1203
Divorce Predictors data set,7/23/2019,N/A,"Multivariate, Univariate",Social Science,Classification,Integer,170,54
Chess (King-Rook vs. King-Pawn),7/31/1989,N/A,Multivariate,Games,Classification,Categorical,3196,35
Challenger USA Space Shuttle O-Ring,8/4/1993,N/A,Multivariate,Physics and Chemistry,Regression,Integer,23,4
Parking Birmingham,1/1/2019,N/A,"Multivariate, Univariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Clustering",Real,35717,4
Leaf,2/23/2014,N/A,Multivariate,Computer Science,Classification,Real,340,-
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,7/19/2017,N/A,Multivariate,Computer Science,"Classification, Regression, Clustering",Integer,77,-
Water Treatment Plant,5/31/1993,N/A,Multivariate,Physics and Chemistry,Clustering,"Integer, Real",527,-
Amazon Access Samples,9/12/2011,N/A,"Time-Series, Domain-Theory",Business,"Regression, Clustering, Causal-Discovery",-,30000,20000
Detect Malware Types,6/2/2019,N/A,"Multivariate, Time-Series, Text",Computer Science,Classification,-,7107,280
Acute Inflammations,2/10/2009,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Integer",120,6
Open University Learning Analytics dataset,12/20/2015,N/A,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Clustering",Integer,-,-
Cloud,8/2/1989,N/A,"Multivariate, Image",Climate and Environment,Other,Real,1024,10
Smartphone-Based Recognition of Human Activities and Postural Transitions,7/28/2015,N/A,"Multivariate, Time-Series",Health and Medicine,Classification,Real,10929,-
Robot Execution Failures,4/22/1999,N/A,"Multivariate, Time-Series",Physics and Chemistry,Classification,Integer,463,90
Hungarian Chickenpox Cases,2/16/2021,N/A,Time-Series,Health and Medicine,Regression,Real,521,20
Bitcoin Heist Ransomware Address,6/16/2020,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Clustering","Integer, Real",2916697,10
CNNpred: CNN-based stock market prediction using a diverse set of variables,12/25/2019,N/A,"Sequential, Time-Series",Computer Science,"Classification, Regression",Real,1985,84
Behavior of the urban traffic of the city of Sao Paulo in Brazil,12/11/2018,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Regression","Integer, Real",135,18
Las Vegas Strip,7/22/2017,N/A,-,Business,"Classification, Regression",Integer,504,-
El Nino,6/29/1999,N/A,Other,Climate and Environment,Other,"Integer, Real",178080,11
Internet Firewall Data,2/3/2019,N/A,Multivariate,Computer Science,Classification,-,65532,12
Waveform Database Generator (Version 1),11/9/1988,N/A,"Multivariate, Data-Generator",Physics and Chemistry,Classification,Real,5000,21
Perfume Data,7/21/2014,N/A,"Univariate, Domain-Theory",Computer Science,"Classification, Clustering",Integer,560,-
Gas sensor array under dynamic gas mixtures,3/19/2015,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Regression",Real,4178504,19
Accelerometer,8/13/2023,N/A,Multivariate,Physics and Chemistry,"Classification, Regression","Real, Integer",153000,5
Yacht Hydrodynamics,1/2/2013,N/A,Multivariate,Physics and Chemistry,Regression,Real,308,-
Molecular Biology (Promoter Gene Sequences),6/29/1990,N/A,"Sequential, Domain-Theory",Biology,Classification,Categorical,106,-
Gas Sensor Array Drift Dataset,4/24/2012,N/A,Multivariate,Computer Science,Classification,Real,13910,-
Accelerometer Gyro Mobile Phone,11/24/2022,N/A,"Tabular, Sequential, Multivariate, Time-Series",Computer Science,Classification,"Real, Categorical",31991,8
News Aggregator,2/27/2016,N/A,Multivariate,Other,"Classification, Clustering",-,422937,-
Daphnet Freezing of Gait,3/6/2013,N/A,"Multivariate, Time-Series",Health and Medicine,Classification,Real,237,-
SPECT Heart,9/30/2001,N/A,Multivariate,Health and Medicine,Classification,Categorical,267,22
Greenhouse Gas Observing Network,4/15/2015,N/A,"Multivariate, Time-Series",Climate and Environment,Regression,Real,2921,5232
Hayes-Roth,2/28/1989,N/A,Multivariate,Social Science,Classification,Categorical,160,4
Influenza Outbreak Event Prediction via Twitter,8/14/2023,N/A,Multivariate,Health and Medicine,Classification,"Real, Integer",75839,523
Visegrad Group companies data,7/16/2023,N/A,Multivariate,Business,"Classification, Clustering",Real,85,83
MONK's Problems,9/30/1992,N/A,Multivariate,Other,Classification,Categorical,432,6
Page Blocks Classification,6/30/1995,N/A,Multivariate,Computer Science,Classification,"Integer, Real",5473,10
Facebook Comment Volume,3/10/2016,N/A,Multivariate,Other,Regression,"Integer, Real",40949,-
Turkiye Student Evaluation,8/31/2013,N/A,Multivariate,Other,"Classification, Clustering",-,5820,-
Restaurant & consumer data,8/3/2012,N/A,Multivariate,Computer Science,-,-,138,-
Caesarian Section Classification Dataset,11/1/2018,N/A,Tabular,Health and Medicine,Classification,Integer,80,-
Annealing,N/A,N/A,Multivariate,Physics and Chemistry,Classification,"Categorical, Integer, Real",798,38
Rocket League Skillshots,8/14/2023,N/A,"Tabular, Time-Series",Games,Classification,Real,297,-
Lymphography,10/31/1988,N/A,Multivariate,Health and Medicine,Classification,Categorical,148,19
Turkish Music Emotion,8/14/2023,N/A,Multivariate,Other,Classification,"Real, Integer",400,50
Cargo 2000 Freight Tracking and Tracing,11/2/2016,N/A,"Multivariate, Sequential",Business,"Classification, Regression",Integer,3942,98
Gas sensor array temperature modulation,4/14/2019,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Regression",Real,4095000,-
Sports articles for objectivity analysis,4/8/2018,N/A,"Multivariate, Text",Social Science,Classification,Integer,1000,-
YouTube Multiview Video Games Dataset,10/15/2013,N/A,"Multivariate, Text",Computer Science,"Classification, Clustering","Integer, Real",120000,1000000
Health News in Twitter,2/18/2018,N/A,Text,Computer Science,Clustering,Real,58000,25000
Dresses_Attribute_Sales,2/18/2014,N/A,Text,Computer Science,"Classification, Clustering",-,501,13
Teaching Assistant Evaluation,6/6/1997,N/A,Multivariate,Other,Classification,"Categorical, Integer",151,-
Anonymous Microsoft Web Data,10/31/1998,N/A,-,Computer Science,Recommender-Systems,Categorical,37711,294
Bias correction of numerical prediction model temperature forecast,2/17/2020,N/A,Multivariate,Climate and Environment,Regression,Real,7750,7
Semeion Handwritten Digit,11/10/2008,N/A,Multivariate,Computer Science,Classification,Integer,1593,-
BuddyMove Data Set,6/30/2018,N/A,"Multivariate, Text",Other,"Classification, Clustering",Real,249,-
Geographical Origin of Music,10/17/2014,N/A,Multivariate,Other,"Classification, Regression",Real,1059,68
Entree Chicago Recommendation Data,3/8/2000,N/A,"Transactional, Sequential",Other,Recommender-Systems,Categorical,50672,-
Legal Case Reports,10/18/2012,N/A,Text,Other,Classification,-,-,-
Human Activity Recognition from Continuous Ambient Sensor Data,9/19/2019,N/A,"Multivariate, Sequential, Time-Series",Other,Classification,"Integer, Real",13956534,-
UR3 CobotOps,2/28/2024,N/A,"Multivariate, Time-Series",Engineering,"Classification, Regression, Clustering, Other","Real, Categorical, Integer",7409,20
Deepfakes: Medical Image Tamper Detection,3/10/2020,N/A,Multivariate,Computer Science,Classification,Real,20000,200000
TUANDROMD (Tezpur University Android Malware Dataset),8/14/2023,N/A,Multivariate,Computer Science,Classification,Integer,4464,241
APS Failure at Scania Trucks,12/7/2017,N/A,Multivariate,Computer Science,Classification,"Integer, Real",60000,171
Similarity Prediction,10/27/2022,N/A,"Tabular, Image",Physics and Chemistry,Classification,-,200,-
QSAR fish toxicity,9/22/2019,N/A,Multivariate,Physics and Chemistry,Regression,Real,908,-
Activity recognition with healthy older people using a batteryless wearable sensor,12/11/2016,N/A,Sequential,Health and Medicine,Classification,Real,75128,9
Exasens,4/21/2020,N/A,Multivariate,Health and Medicine,"Classification, Clustering",Integer,399,4
Vehicle routing and scheduling problems,10/6/2019,N/A,Multivariate,Business,Clustering,"Integer, Real",18,9
Soybean (Small),12/31/1986,N/A,Multivariate,Biology,Classification,Categorical,47,35
Speaker Accent Recognition,3/3/2020,N/A,Multivariate,Social Science,Classification,Real,329,12
Codon usage,10/2/2020,N/A,Multivariate,Biology,"Classification, Clustering",-,13028,69
Unmanned Aerial Vehicle (UAV) Intrusion Detection,4/11/2020,N/A,Multivariate,Computer Science,Classification,Real,17256,55
LT-FS-ID: Intrusion detection in WSNs,3/8/2022,N/A,Tabular,Computer Science,Regression,-,182,4
Synchronous Machine,4/20/2021,N/A,Multivariate,Computer Science,Regression,Real,557,5
Musk (Version 1),9/11/1994,N/A,Multivariate,Physics and Chemistry,Classification,Integer,476,168
GPS Trajectories,2/28/2016,N/A,Multivariate,Computer Science,"Classification, Regression",Real,163,15
Musk (Version 2),9/11/1994,N/A,Multivariate,Physics and Chemistry,Classification,Integer,6598,166
Tamilnadu Electricity Board Hourly Readings,12/21/2013,N/A,Multivariate,Engineering,"Classification, Regression, Clustering",Real,45781,-
Printed Circuit Board Processed Image,4/17/2024,N/A,"Tabular, Image, Other",Computer Science,"Classification, Clustering","Real, Categorical, Integer",723552,5
Molecular Biology (Splice-junction Gene Sequences),12/31/1991,N/A,"Sequential, Domain-Theory",Biology,Classification,Categorical,3190,60
Wireless Indoor Localization,12/3/2017,N/A,Multivariate,Computer Science,Classification,Real,2000,-
Climate Model Simulation Crashes,6/17/2013,N/A,Multivariate,Climate and Environment,Classification,Real,540,-
Autistic Spectrum Disorder Screening Data for Adolescent,12/23/2017,N/A,Multivariate,Health and Medicine,Classification,Integer,104,21
PM2.5 Data of Five Chinese Cities,7/17/2017,N/A,"Multivariate, Time-Series",Physics and Chemistry,Regression,"Integer, Real",52854,-
Chess (King-Rook vs. King),5/31/1994,N/A,Multivariate,Games,Classification,"Categorical, Integer",28056,6
Servo,4/30/1993,N/A,Multivariate,Computer Science,Regression,"Categorical, Integer",167,4
Physicochemical Properties of Protein Tertiary Structure,3/30/2013,N/A,Multivariate,Biology,Regression,Real,45730,-
Buzz in social media,5/26/2013,N/A,"Time-Series, Multivariate",Computer Science,"Regression, Classification","Integer, Real",140000,-
Japanese Vowels,N/A,N/A,"Multivariate, Time-Series",Other,Classification,Real,640,-
TUNADROMD,6/20/2023,N/A,Tabular,Computer Science,Classification,Integer,4465,242
Mechanical Analysis,5/31/1990,N/A,Multivariate,Computer Science,Classification,"Categorical, Integer, Real",209,8
ICU,N/A,N/A,"Multivariate, Time-Series",Health and Medicine,Classification,Real,1,-
OpinRank Review Dataset,7/25/2011,N/A,Text,Computer Science,-,-,-,-
Cisco Secure Workload Networks of Computing Hosts,5/15/2022,N/A,"Sequential, Text, Other",Computer Science,"Clustering, Other",-,1000000,-
QSAR aquatic toxicity,9/22/2019,N/A,Multivariate,Physics and Chemistry,Regression,Real,546,-
Devanagari Handwritten Character Dataset,8/31/2016,N/A,-,Computer Science,Classification,Integer,92000,-
Anuran Calls (MFCCs),2/23/2017,N/A,Multivariate,Biology,"Classification, Clustering",Real,7195,-
SUSY,2/11/2014,N/A,-,Physics and Chemistry,Classification,Real,5000000,-
Bach Chorales,N/A,N/A,"Univariate, Time-Series",Other,-,"Categorical, Integer",100,6
EMG dataset in Lower Limb,2/4/2014,N/A,"Multivariate, Time-Series",Computer Science,-,Real,132,5
PEMS-SF,5/21/2011,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,440,138672
Wave Energy Converters,6/29/2019,N/A,Multivariate,Computer Science,Regression,Real,288000,-
SoDA,6/19/2022,N/A,Time-Series,Health and Medicine,Classification,-,1800,-
Amphibians,7/16/2020,N/A,Multivariate,Biology,Classification,"Integer, Real",189,23
BlogFeedback,5/28/2014,N/A,Multivariate,Social Science,Regression,"Integer, Real",60021,-
Arcene,2/28/2008,N/A,Multivariate,Health and Medicine,Classification,Real,900,10000
Shell Commands Used by Participants of Hands-on Cybersecurity Training,Linked on 8/24/2023,N/A,Sequential,Computer Science,"Classification, Regression, Clustering, Other","Categorical, Integer",21459,9
Breast Tissue,5/9/2010,N/A,Multivariate,Health and Medicine,Classification,Real,106,-
Localization Data for Person Activity,11/2/2010,N/A,"Univariate, Sequential, Time-Series",Health and Medicine,Classification,Real,164860,8
sEMG for Basic Hand movements,11/17/2014,N/A,Time-Series,Health and Medicine,Classification,Real,3000,2500
Chemical Composition of Ceramic Samples,1/28/2019,N/A,Multivariate,Physics and Chemistry,"Classification, Clustering",Real,88,19
Gas sensors for home activity monitoring,7/14/2016,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,919438,-
Dataset for Sensorless Drive Diagnosis,2/23/2015,N/A,Multivariate,Computer Science,Classification,Real,58509,-
Immunotherapy Dataset,1/3/2018,N/A,Univariate,Health and Medicine,Classification,"Integer, Real",90,8
Shill Bidding Dataset,3/9/2020,N/A,Multivariate,Computer Science,"Classification, Clustering",-,6321,13
Non Verbal Tourists,8/13/2023,N/A,Multivariate,Social Science,"Classification, Clustering","Real, Integer",73,22
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,6/5/2015,N/A,"Sequential, Time-Series",Business,Classification,Real,314080,-
Madelon,2/28/2008,N/A,Multivariate,Other,Classification,Real,4400,-
TV News Channel Commercial Detection Dataset,3/26/2015,N/A,Multivariate,Computer Science,"Classification, Clustering",Real,129685,12
Dataset based on UWB for Clinical Establishments,11/21/2022,N/A,Tabular,Computer Science,Other,Real,608,8
Gender Gap in Spanish WP,8/13/2023,N/A,Multivariate,Social Science,Classification,"Real, Integer",4746,18
Somerville Happiness Survey,5/23/2018,N/A,Tabular,Health and Medicine,Classification,Integer,143,-
SPECTF Heart,9/30/2001,N/A,Multivariate,Health and Medicine,Classification,Integer,267,44
Trains,6/23/1994,N/A,Multivariate,Other,Classification,Categorical,10,-
Post-Operative Patient,5/31/1993,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Integer",90,8
University,6/30/1988,N/A,Multivariate,Other,Classification,"Categorical, Integer",285,17
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),3/8/2016,N/A,Time-Series,Computer Science,Classification,Real,5744,-
Parkinson Dataset with replicated acoustic features,4/9/2019,N/A,Multivariate,Health and Medicine,Classification,-,240,-
Protein Data,N/A,N/A,-,Biology,-,-,-,-
Wall-Following Robot Navigation Data,8/3/2010,N/A,"Multivariate, Sequential",Computer Science,Classification,Real,5456,-
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,10/10/2017,N/A,Multivariate,Computer Science,"Classification, Regression",Integer,217,12
Cylinder Bands,7/31/1995,N/A,Multivariate,Physics and Chemistry,Classification,"Categorical, Integer, Real",512,39
One-hundred plant species leaves data set,12/2/2012,N/A,-,Biology,Classification,Real,1600,64
Avila,6/19/2018,N/A,Multivariate,Computer Science,Classification,Real,20867,-
SML2010,1/8/2014,N/A,"Multivariate, Sequential, Time-Series, Text",Computer Science,Regression,Real,4137,-
Urban Land Cover,3/26/2014,N/A,Multivariate,Climate and Environment,Classification,-,168,148
Student Loan Relational,12/31/1992,N/A,Domain-Theory,Social Science,-,-,1000,-
Swarm Behaviour,6/15/2020,N/A,Multivariate,Computer Science,Classification,Real,24017,2400
seismic-bumps,4/2/2013,N/A,Multivariate,Other,Classification,Real,2584,-
Ajwa or Medjool,9/14/2023,N/A,"Tabular, Image",Other,Classification,"Real, Categorical, Integer",200,6
Malware static and dynamic features VxHeaven and Virus Total,1/30/2019,N/A,Multivariate,Computer Science,Classification,"Integer, Real",2955,1087
QSAR biodegradation,6/20/2013,N/A,Multivariate,Other,Classification,"Integer, Real",1055,-
Dorothea,2/28/2008,N/A,Multivariate,Biology,Classification,Integer,1950,100000
Breath Metabolomics,11/7/2019,N/A,"Multivariate, Time-Series",Health and Medicine,"Classification, Clustering",Real,104,1656
2D elastodynamic metamaterials,11/25/2021,N/A,Tabular,Engineering,Regression,-,20521,1
Image Recognition Task Execution Times in Mobile Edge Computing,8/14/2023,N/A,"Sequential, Time-Series",Computer Science,Regression,Real,4000,2
Real-time Election Results: Portugal 2019,12/4/2019,N/A,"Multivariate, Time-Series, Text",Social Science,Regression,"Integer, Real",21643,29
Early biomarkers of Parkinsonâs disease based on natural connected speech,2/14/2017,N/A,Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",130,-
Motion Capture Hand Postures,1/26/2017,N/A,Multivariate,Computer Science,"Classification, Clustering",Real,78095,-
EEG Steady-State Visual Evoked Potential Signals,7/12/2018,N/A,"Multivariate, Time-Series",Health and Medicine,"Classification, Regression",Integer,9200,-
Turkish User Reviews,1/5/2023,N/A,Text,Computer Science,Other,-,37056,-
Pedal Me Bicycle Deliveries,8/13/2023,N/A,Time-Series,Social Science,Regression,Real,36,15
Stock keeping units,4/9/2019,N/A,Multivariate,Business,Clustering,"Integer, Real",2279,9
Multi-view Brain Networks,8/5/2020,N/A,Multivariate,Health and Medicine,"Classification, Clustering",Integer,70,70
Simulated Falls and Daily Living Activities Data Set,6/5/2018,N/A,Time-Series,Health and Medicine,Classification,Integer,3060,138
Synthetic Control Chart Time Series,6/7/1999,N/A,Time-Series,Other,"Classification, Clustering",Real,600,-
Turkish Crowdfunding Startups,7/2/2024,N/A,Text,Business,"Classification, Regression, Clustering","Real, Categorical, Integer",1628,38
Forest type mapping,5/24/2015,N/A,Multivariate,Biology,Classification,-,326,27
Gait Classification,10/13/2020,N/A,Multivariate,Computer Science,Classification,Real,48,321
Wikipedia Math Essentials,4/19/2021,N/A,Time-Series,Social Science,Regression,Real,731,1068
Carbon Nanotubes,4/4/2018,N/A,Univariate,Computer Science,Regression,Real,10721,-
Libras Movement,8/16/2009,N/A,"Multivariate, Sequential",Other,"Classification, Clustering",Real,360,-
Activity Recognition system based on Multisensor data fusion (AReM),5/17/2016,N/A,"Multivariate, Sequential, Time-Series",Computer Science,Classification,Real,42240,6
Wheat Kernels,8/2/2020,N/A,Multivariate,Computer Science,Classification,Real,314,15
Qualitative_Bankruptcy,2/8/2014,N/A,Multivariate,Computer Science,Classification,-,250,-
LED Display Domain,11/9/1988,N/A,"Multivariate, Data-Generator",Computer Science,Classification,Categorical,-,7
Gisette,2/28/2008,N/A,Multivariate,Computer Science,Classification,Integer,13500,5000
Audiology (Original),12/2/1987,N/A,Multivariate,Health and Medicine,Classification,Categorical,226,-
KDD Cup 1998,7/19/1998,N/A,Multivariate,Other,Regression,"Categorical, Integer",191779,-
Pittsburgh Bridges,7/31/1990,N/A,Multivariate,Other,Classification,"Categorical, Integer",108,12
EMG Physical Action Data Set,7/26/2011,N/A,Time-Series,Health and Medicine,Classification,Real,10000,-
Planning Relax,7/16/2012,N/A,Univariate,Computer Science,Classification,Real,182,-
